id,category,template,explanation,defensive_notes,created_at,db,injection_type
sqli-001,sqli,' OR '1'='1,Classic SQL injection - creates always-true condition to bypass WHERE clause,Parameterized queries (prepared statements) prevent this entirely. Never concatenate user input into SQL.,2026-02-14T23:20:17.450039,generic,error-based
sqli-002,sqli,' OR 1=1--,Boolean-based injection with comment - comments out rest of query,Prepared statements are the primary defense. Input validation as secondary layer.,2026-02-14T23:20:17.450071,generic,error-based
sqli-003,sqli,' OR '1'='1' #,MySQL-specific comment syntax using # to terminate query,Use mysqli::prepare() or PDO with prepared statements. Never use mysql_query() with user input.,2026-02-14T23:20:17.450076,mysql,error-based
sqli-006,sqli,"' AND extractvalue(1,concat(0x7e,database())) --",MySQL error-based data extraction using extractvalue() function,"Prepared statements prevent injection. Additionally, principle of least privilege limits database access.",2026-02-14T23:20:17.450088,mysql,error-based
sqli-101,sqli,"' UNION SELECT NULL,NULL,NULL--",UNION injection to discover column count - each NULL represents a column,"Prepared statements block this. If dynamic SQL is unavoidable, strict whitelist validation is needed.",2026-02-14T23:20:17.450092,generic,union-based
sqli-102,sqli,"' UNION SELECT 1,database(),user()--",MySQL UNION to extract database name and current user,Defense-in-depth: prepared statements + least privilege database user + WAF monitoring.,2026-02-14T23:20:17.450094,mysql,union-based
sqli-105,sqli,"' UNION SELECT 1,table_name,3 FROM information_schema.tables--",UNION-based table name enumeration from information_schema,Prepared statements + restrict information_schema access + monitor for enumeration attempts.,2026-02-14T23:20:17.450101,mysql,union-based
sqli-201,sqli,' AND 1=1--,Blind boolean SQLi - true condition (page behaves normally),Blind SQLi is harder to detect but still prevented by prepared statements. Monitor for repeated similar requests.,2026-02-14T23:20:17.450105,generic,blind-boolean
sqli-202,sqli,' AND 1=2--,Blind boolean SQLi - false condition (page behaves differently),Rate limiting and anomaly detection can identify blind SQLi attempts. Primary defense: prepared statements.,2026-02-14T23:20:17.450108,generic,blind-boolean
sqli-203,sqli,"' AND SUBSTRING(database(),1,1)='a'--",Blind SQLi character extraction - tests if first character of database name is 'a',This demonstrates data exfiltration byte-by-byte. Prepared statements prevent the injection point.,2026-02-14T23:20:17.450110,mysql,blind-boolean
sqli-204,sqli,"' AND ASCII(SUBSTRING(database(),1,1))>97--",Blind binary search SQLi - compares ASCII value to narrow down characters,Monitoring for sequential boolean testing patterns can detect blind SQLi automation. Prevent with parameterization.,2026-02-14T23:20:17.450115,mysql,blind-boolean
sqli-301,sqli,' AND SLEEP(5)--,MySQL time delay - causes 5-second delay if injection succeeds (DESCRIPTION ONLY - DO NOT EXECUTE),Time-based attacks are stealthy but detectable via response time monitoring. Prevent with prepared statements.,2026-02-14T23:20:17.450118,mysql,blind-time
sqli-304,sqli,"' AND IF(1=1,SLEEP(5),0)--",Conditional time delay - sleeps only if condition is true (DESCRIPTION ONLY),Demonstrates data exfiltration via timing. Defense: prepared statements + query timeout limits.,2026-02-14T23:20:17.450125,mysql,blind-time
sqli-401,sqli,admin'--,Classic admin authentication bypass - comments out password check,"Prepared statements prevent this. Additionally: proper password hashing, account lockout, MFA.",2026-02-14T23:20:17.450128,generic,auth-bypass
sqli-402,sqli,' OR '1'='1'--,Always-true condition to bypass login - returns first user (often admin),Never build authentication queries with string concatenation. Use ORM or prepared statements.,2026-02-14T23:20:17.450131,generic,auth-bypass
sqli-403,sqli,admin' #,MySQL comment-based auth bypass,"Defense layers: prepared statements, rate limiting, CAPTCHA after failed attempts, logging.",2026-02-14T23:20:17.450133,generic,auth-bypass
sqli-404,sqli,' OR 1=1 LIMIT 1--,LIMIT clause to ensure single result in auth bypass,Prepared statements + secure session management + monitoring for suspicious logins.,2026-02-14T23:20:17.450135,generic,auth-bypass
sqli-501,sqli,' OR '1'='1,No comment needed if query structure allows - demonstrates basic filter evasion,Blacklist filters are ineffective. Whitelist validation + prepared statements required.,2026-02-14T23:20:17.450138,generic,filter-bypass
sqli-502,sqli,' /*!50000OR*/ '1'='1,MySQL conditional comment bypass - code inside executes only on MySQL 5.0+,"Demonstrates why blacklisting fails. Use prepared statements, not regex filters.",2026-02-14T23:20:17.450141,mysql,filter-bypass
sqli-503,sqli,' OR/**/1=1--,Comment-based space replacement - bypasses filters looking for ' OR ' with spaces,Attackers use many obfuscation tricks. Don't rely on pattern matching for SQL injection defense.,2026-02-14T23:20:17.450143,mysql,filter-bypass
sqli-504,sqli,' OORR '1'='1,"Demonstrates recursive filter bypass logic - if filter removes OR, this becomes ' OR '1'='1",Recursive sanitization or proper prepared statements needed. String replacement is insufficient.,2026-02-14T23:20:17.450146,generic,filter-bypass
sqli-505,sqli,"' UnIoN SeLeCt 1,2,3--",Case variation to bypass case-sensitive filters,"Filters should be case-insensitive. Better: use prepared statements, not filters.",2026-02-14T23:20:17.450148,mysql,filter-bypass
sqli-506,sqli,' OR 0x31=0x31--,Hex encoding of values (0x31 = '1') to evade simple pattern matching,Modern WAFs normalize hex encoding. Core defense remains prepared statements.,2026-02-14T23:20:17.450150,mysql,filter-bypass
sqli-507,sqli,' OR CHAR(49)=CHAR(49)--,Character code encoding to hide suspicious values,"Demonstrates why signatures fail. Prepared statements treat entire input as data, not code.",2026-02-14T23:20:17.450153,generic,filter-bypass
